timestamp(ms),pressure,temperature,
"1724467348.838","1012.73","22.11",
"1724467348.842","1012.69","22.1",
"1724467348.845","1012.6",,
"1724467348.846",,"22.1",
"1724467348.849","1012.57","22.08",
"1724467348.853","1012.48","22.08",
"1724467348.856","1012.69","22.1",
"1724467348.86","1012.66","22.08",
"1724467348.863","1012.53","22.06",
"1724467348.867","1012.75","22.08",
"1724467348.871","1012.53","22.06",
"1724467348.874","1012.53","22.06",
"1724467348.878","1012.53","22.06",
"1724467348.881","1012.57",,
"1724467348.882",,"22.08",
"1724467348.885","1012.44","22.06",
"1724467348.889","1012.63","22.06",
"1724467348.892","1012.66","22.08",
"1724467348.896","1012.53","22.06",
"1724467348.9","1012.66","22.08",
"1724467348.903","1012.63","22.06",
"1724467348.907","1012.75","22.08",
"1724467348.91","1012.53","22.06",
"1724467348.914","1012.53","22.06",
"1724467348.917","1012.57","22.08",
"1724467348.921","1012.63","22.06",
"1724467348.925","1012.57","22.08",
"1724467348.928","1012.63","22.06",
"1724467348.932","1012.63","22.06",
"1724467348.935","1012.53",,
"1724467348.936",,"22.06",
"1724467348.939","1012.53","22.06",
"1724467348.943","1012.53","22.06",
"1724467348.946","1012.63","22.06",
"1724467348.95","1012.53","22.06",
"1724467348.953","1012.63",,
"1724467348.954",,"22.06",
"1724467348.957","1012.53","22.06",
"1724467348.961","1012.63","22.06",
"1724467348.964","1012.48","22.08",
"1724467348.968","1012.53","22.06",
"1724467348.971","1012.63","22.06",
"1724467348.975","1012.53","22.06",
"1724467348.979","1012.53","22.06",
"1724467348.982","1012.5","22.04",
"1724467348.986","1012.53","22.06",
"1724467348.989","1012.44","22.06",
"1724467348.993","1012.53","22.06",
"1724467348.997","1012.53","22.06",
"1724467349","1012.53","22.06",
"1724467349.004","1012.63","22.06",
"1724467349.007","1012.44",,
"1724467349.008",,"22.06",
"1724467349.011","1012.63","22.06",
"1724467349.015","1012.53","22.06",
"1724467349.018","1012.44","22.06",
"1724467349.022","1012.53","22.06",
"1724467349.025","1012.63","22.06",
"1724467349.029","1012.53","22.06",
"1724467349.033","1012.63","22.06",
"1724467349.036","1012.53","22.06",
"1724467349.04","1012.63","22.06",
"1724467349.043","1012.53","22.06",
"1724467349.047","1012.44","22.06",
"1724467349.051","1012.59","22.04",
"1724467349.054","1012.53","22.06",
"1724467349.058","1012.53","22.06",
"1724467349.061","1012.53",,
"1724467349.062",,"22.06",
"1724467349.065","1012.53","22.06",
"1724467349.069","1012.59","22.04",
"1724467349.072","1012.63","22.06",
"1724467349.076","1012.53","22.06",
"1724467349.079","1012.57",,
"1724467349.08",,"22.08",
"1724467349.083","1012.53","22.06",
"1724467349.087","1012.63","22.06",
"1724467349.09","1012.57","22.08",
"1724467349.094","1012.72","22.06",
"1724467349.097","1012.53","22.06",
"1724467349.101","1012.63","22.06",
"1724467349.105","1012.44","22.06",
"1724467349.108","1012.53","22.06",
"1724467349.112","1012.53","22.06",
"1724467349.115","1012.53","22.06",
"1724467349.119","1012.57","22.08",
"1724467349.123","1012.53","22.06",
"1724467349.126","1012.53","22.06",
"1724467349.13","1012.53","22.06",
"1724467349.133","1012.63","22.06",
"1724467349.137","1012.53","22.06",
"1724467349.141","1012.53","22.06",
"1724467349.144","1012.57","22.08",
"1724467349.148","1012.63","22.06",
"1724467349.151","1012.53","22.06",
"1724467349.155","1012.63","22.06",
"1724467349.159","1012.63","22.06",
"1724467349.162","1012.48","22.08",
"1724467349.166","1012.63","22.06",
"1724467349.169","1012.53",,
"1724467349.17",,"22.06",
"1724467349.173","1012.53","22.06",
"1724467349.177","1012.53","22.06",
"1724467349.18","1012.53","22.06",
"1724467349.184","1012.66","22.08",
"1724467349.187","1012.53","22.06",
"1724467349.191","1012.63","22.06",
"1724467349.195","1012.53","22.06",
"1724467349.198","1012.53","22.06",
"1724467349.202","1012.53","22.06",
"1724467349.205","1012.44","22.06",
"1724467349.209","1012.57","22.08",
"1724467349.213","1012.57","22.08",
"1724467349.216","1012.53","22.06",
"1724467349.22","1012.44","22.06",
"1724467349.223","1012.53","22.06",
"1724467349.227","1012.53","22.06",
"1724467349.231","1012.53","22.06",
"1724467349.234","1012.53","22.06",
"1724467349.238","1012.44","22.06",
"1724467349.241","1012.44","22.06",
"1724467349.245","1012.53","22.06",
"1724467349.249","1012.44","22.06",
"1724467349.252","1012.53","22.06",
"1724467349.256","1012.57","22.08",
"1724467349.259","1012.57","22.08",
"1724467349.263","1012.66","22.08",
"1724467349.266","1012.57",,
"1724467349.267",,"22.08",
"1724467349.27","1012.44","22.06",
"1724467349.274","1012.53","22.06",
"1724467349.277","1012.48","22.08",
"1724467349.281","1012.48","22.08",
"1724467349.285","1012.66","22.08",
"1724467349.288","1012.57","22.08",
"1724467349.292","1012.57","22.08",
"1724467349.295","1012.48","22.08",
"1724467349.299","1012.63","22.06",
"1724467349.303","1012.57","22.08",
"1724467349.306","1012.63","22.06",
"1724467349.31","1012.44","22.06",
"1724467349.313","1012.53","22.06",
"1724467349.317","1012.53","22.06",
"1724467349.321","1012.53","22.06",
"1724467349.324","1012.6","22.1",
"1724467349.328","1012.57","22.08",
"1724467349.331","1012.63","22.06",
"1724467349.335","1012.53","22.06",
"1724467349.339","1012.57","22.08",
"1724467349.342","1012.48","22.08",
"1724467349.346","1012.57","22.08",
"1724467349.349","1012.53","22.06",
"1724467349.353","1012.48","22.08",
"1724467349.356","1012.53",,
"1724467349.357",,"22.06",
"1724467349.36","1012.44","22.06",
"1724467349.364","1012.57","22.08",
"1724467349.367","1012.48","22.08",
"1724467349.371","1012.57","22.08",
"1724467349.375","1012.48","22.08",
"1724467349.378","1012.57","22.08",
"1724467349.382","1012.66","22.08",
"1724467349.385","1012.57","22.08",
"1724467349.389","1012.53","22.06",
"1724467349.393","1012.38","22.08",
"1724467349.396","1012.66","22.08",
"1724467349.4","1012.66","22.08",
"1724467349.403","1012.48","22.08",
"1724467349.407","1012.57","22.08",
"1724467349.411","1012.48","22.08",
"1724467349.414","1012.57","22.08",
"1724467349.418","1012.48","22.08",
"1724467349.421","1012.66","22.08",
"1724467349.425","1012.57","22.08",
"1724467349.429","1012.48","22.08",
"1724467349.432","1012.57","22.08",
"1724467349.436","1012.57","22.08",
"1724467349.439","1012.66","22.08",
"1724467349.443","1012.48","22.08",
"1724467349.447","1012.48","22.08",
"1724467349.45","1012.66","22.08",
"1724467349.454","1012.48","22.08",
"1724467349.457","1012.51",,
"1724467349.458",,"22.1",
"1724467349.461","1012.57","22.08",
"1724467349.465","1012.57","22.08",
"1724467349.468","1012.38","22.08",
"1724467349.472","1012.48","22.08",
"1724467349.475","1012.48",,
"1724467349.476",,"22.08",
"1724467349.479","1012.48","22.08",
"1724467349.483","1012.48","22.08",
"1724467349.486","1012.57","22.08",
"1724467349.49","1012.57","22.08",
"1724467349.493","1012.6","22.1",
"1724467349.497","1012.57","22.08",
"1724467349.501","1012.48","22.08",
"1724467349.504","1012.57","22.08",
"1724467349.508","1012.66","22.08",
"1724467349.511","1012.66","22.08",
"1724467349.515","1012.48","22.08",
"1724467349.519","1012.6","22.1",
"1724467349.522","1012.57","22.08",
"1724467349.526","1012.57","22.08",
"1724467349.529","1012.57",,
"1724467349.53",,"22.08",
"1724467349.533","1012.57","22.08",
"1724467349.537","1012.57","22.08",
"1724467349.54","1012.57","22.08",
"1724467349.544","1012.57","22.08",
"1724467349.547","1012.57","22.08",
"1724467349.551","1012.42","22.1",
"1724467349.554","1012.57",,
"1724467349.555",,"22.08",
"1724467349.558","1012.48","22.08",
"1724467349.562","1012.51","22.1",
"1724467349.565","1012.6","22.1",
"1724467349.569","1012.51","22.1",
"1724467349.572","1012.6",,
"1724467349.573",,"22.1",
"1724467349.576","1012.48","22.08",
"1724467349.58","1012.48","22.08",
"1724467349.583","1012.48","22.08",
"1724467349.587","1012.48","22.08",
"1724467349.591","1012.51","22.1",
"1724467349.594","1012.48","22.08",
"1724467349.598","1012.38","22.08",
"1724467349.601","1012.57","22.08",
"1724467349.605","1012.57","22.08",
"1724467349.609","1012.48","22.08",
"1724467349.612","1012.57","22.08",
"1724467349.616","1012.57","22.08",
"1724467349.619","1012.57","22.08",
"1724467349.623","1012.57","22.08",
