timestamp(ms),pressure,temperature,
"1724467981.745","1012.67","22.23",
"1724467981.758","1012.61","22.21",
"1724467981.772","1012.55","22.19",
"1724467981.786","1012.56","22.19",
"1724467981.799","1012.51","22.18",
"1724467981.813","1012.5","22.18",
"1724467981.826","1012.49",,
"1724467981.827",,"22.17",
"1724467981.84","1012.49","22.17",
"1724467981.854","1012.5","22.17",
"1724467981.867","1012.48",,
"1724467981.868",,"22.16",
"1724467981.881","1012.46","22.17",
"1724467981.895","1012.46","22.17",
"1724467981.908","1012.46","22.17",
"1724467981.922","1012.44","22.17",
"1724467981.935","1012.45",,
"1724467981.936",,"22.17",
"1724467981.949","1012.45","22.17",
"1724467981.963","1012.42","22.17",
"1724467981.976","1012.44","22.17",
"1724467981.99","1012.43","22.17",
"1724467982.003","1012.47",,
"1724467982.004",,"22.17",
"1724467982.017","1012.41",,
"1724467982.018",,"22.17",
"1724467982.03","1012.45",,
"1724467982.031",,"22.17",
"1724467982.044","1012.43","22.18",
"1724467982.058","1012.47","22.18",
"1724467982.071","1012.45",,
"1724467982.072",,"22.18",
"1724467982.085","1012.44","22.18",
"1724467982.098","1012.42","22.18",
"1724467982.112","1012.43","22.18",
"1724467982.126","1012.43","22.18",
"1724467982.139","1012.43",,
"1724467982.14",,"22.18",
"1724467982.153","1012.42",,
"1724467982.154",,"22.19",
"1724467982.166","1012.42","22.19",
"1724467982.18","1012.4","22.19",
"1724467982.194","1012.38","22.19",
"1724467982.207","1012.44",,
"1724467982.208",,"22.19",
"1724467982.221","1012.44","22.19",
"1724467982.234","1012.42",,
"1724467982.235",,"22.19",
"1724467982.248","1012.43","22.19",
"1724467982.262","1012.39","22.19",
"1724467982.275","1012.42",,
"1724467982.276",,"22.19",
"1724467982.289","1012.43","22.2",
"1724467982.302","1012.43","22.2",
"1724467982.316","1012.4","22.2",
"1724467982.33","1012.45","22.2",
"1724467982.344","1012.43","22.2",
"1724467982.357","1012.42","22.2",
"1724467982.37","1012.43","22.2",
"1724467982.384","1012.42","22.21",
"1724467982.398","1012.38","22.2",
"1724467982.412","1012.44","22.21",
"1724467982.425","1012.42","22.21",
"1724467982.438","1012.42","22.21",
"1724467982.452","1012.41",,
"1724467982.453",,"22.21",
"1724467982.466","1012.44","22.21",
"1724467982.48","1012.46","22.21",
"1724467982.493","1012.44","22.22",
"1724467982.506","1012.4","22.21",
"1724467982.52","1012.43","22.22",
"1724467982.534","1012.39","22.22",
"1724467982.548","1012.41","22.22",
"1724467982.562","1012.42","22.22",
