timestamp(ms),pressure,temperature,
"1724468052.133","1012.63",,
"1724468052.134",,"22.44",
"1724468052.154","1012.52","22.4",
"1724468052.176","1012.48","22.38",
"1724468052.197","1012.47","22.38",
"1724468052.219","1012.44","22.37",
"1724468052.241","1012.42","22.37",
"1724468052.262","1012.42","22.37",
"1724468052.284","1012.44","22.37",
"1724468052.305","1012.41","22.37",
"1724468052.327","1012.42","22.37",
"1724468052.349","1012.39","22.37",
"1724468052.37","1012.42",,
"1724468052.371",,"22.37",
"1724468052.392","1012.41","22.37",
"1724468052.413","1012.38","22.37",
"1724468052.435","1012.4","22.38",
"1724468052.457","1012.43","22.38",
"1724468052.478","1012.41","22.38",
"1724468052.5","1012.42","22.39",
"1724468052.521","1012.36","22.38",
"1724468052.543","1012.37","22.39",
"1724468052.565","1012.39","22.4",
"1724468052.586","1012.36","22.4",
"1724468052.608","1012.38","22.4",
"1724468052.629","1012.38",,
"1724468052.63",,"22.4",
"1724468052.651","1012.37","22.4",
"1724468052.672","1012.38",,
"1724468052.673",,"22.4",
"1724468052.694","1012.37","22.4",
"1724468052.716","1012.4","22.41",
"1724468052.737","1012.36",,
"1724468052.738",,"22.41",
"1724468052.759","1012.38","22.41",
"1724468052.781","1012.38",,
"1724468052.782",,"22.41",
"1724468052.802","1012.37","22.42",
"1724468052.824","1012.35","22.42",
"1724468052.846","1012.37","22.42",
"1724468052.867","1012.37","22.42",
"1724468052.889","1012.36","22.42",
"1724468052.91","1012.37","22.43",
"1724468052.932","1012.36","22.43",
"1724468052.954","1012.38","22.43",
"1724468052.976","1012.38","22.44",
"1724468052.997","1012.39","22.44",
"1724468053.018","1012.37",,
"1724468053.019",,"22.44",
"1724468053.04","1012.36",,
"1724468053.041",,"22.44",
"1724468053.061","1012.39",,
"1724468053.062",,"22.44",
"1724468053.083","1012.39",,
"1724468053.084",,"22.44",
"1724468053.105","1012.4","22.45",
"1724468053.126","1012.37","22.45",
"1724468053.148","1012.37","22.45",
"1724468053.169","1012.39",,
"1724468053.17",,"22.45",
"1724468053.191","1012.37","22.45",
"1724468053.213","1012.37","22.45",
"1724468053.234","1012.39",,
"1724468053.235",,"22.46",
"1724468053.256","1012.36","22.46",
"1724468053.278","1012.37","22.46",
"1724468053.299","1012.36",,
"1724468053.3",,"22.46",
"1724468053.321","1012.4","22.46",
"1724468053.342","1012.36","22.46",
"1724468053.364","1012.39","22.47",
"1724468053.385","1012.36","22.47",
"1724468053.407","1012.4","22.47",
"1724468053.429","1012.38","22.48",
"1724468053.45","1012.37","22.47",
"1724468053.472","1012.36","22.47",
"1724468053.494","1012.39","22.48",
"1724468053.515","1012.37","22.48",
"1724468053.537","1012.4","22.48",
"1724468053.558","1012.39",,
"1724468053.559",,"22.48",
"1724468053.58","1012.38","22.48",
"1724468053.601","1012.35","22.48",
"1724468053.623","1012.36","22.48",
"1724468053.644","1012.36","22.49",
"1724468053.666","1012.34","22.49",
"1724468053.688","1012.36","22.49",
"1724468053.709","1012.38","22.49",
"1724468053.731","1012.36","22.49",
"1724468053.753","1012.37","22.5",
"1724468053.774","1012.36","22.5",
"1724468053.796","1012.35","22.5",
"1724468053.817","1012.35",,
"1724468053.818",,"22.5",
"1724468053.839","1012.36","22.5",
"1724468053.86","1012.37",,
"1724468053.861",,"22.51",
"1724468053.882","1012.37","22.5",
"1724468053.904","1012.37","22.5",
"1724468053.925","1012.36","22.51",
"1724468053.947","1012.37",,
"1724468053.948",,"22.51",
"1724468053.969","1012.36",,
"1724468053.97",,"22.51",
"1724468053.99","1012.38","22.51",
"1724468054.012","1012.39","22.51",
"1724468054.034","1012.38","22.51",
"1724468054.055","1012.36","22.51",
"1724468054.077","1012.37","22.51",
"1724468054.098","1012.35","22.52",
"1724468054.12","1012.37","22.52",
"1724468054.141","1012.37","22.52",
"1724468054.163","1012.37","22.52",
"1724468054.185","1012.36","22.52",
"1724468054.206","1012.36",,
"1724468054.207",,"22.52",
"1724468054.228","1012.37","22.52",
"1724468054.249","1012.39",,
"1724468054.25",,"22.52",
"1724468054.271","1012.37","22.52",
"1724468054.293","1012.36","22.53",
"1724468054.314","1012.35","22.53",
"1724468054.336","1012.4","22.53",
"1724468054.357","1012.35",,
"1724468054.358",,"22.53",
"1724468054.379","1012.35","22.53",
"1724468054.4","1012.38","22.53",
"1724468054.422","1012.38","22.54",
"1724468054.444","1012.37","22.53",
"1724468054.466","1012.39","22.54",
"1724468054.488","1012.37","22.54",
"1724468054.508","1012.35","22.54",
"1724468054.53","1012.37","22.54",
"1724468054.552","1012.37",,
"1724468054.553",,"22.54",
"1724468054.593","1012.37","22.55",
"1724468054.598","1012.36","22.54",
"1724468054.616","1012.36","22.55",
"1724468054.638","1012.34","22.55",
"1724468054.66","1012.36","22.55",
"1724468054.681","1012.37",,
"1724468054.682",,"22.55",
"1724468054.703","1012.37","22.55",
"1724468054.725","1012.37","22.55",
"1724468054.747","1012.39",,
"1724468054.748",,"22.55",
"1724468054.768","1012.4","22.55",
"1724468054.789","1012.35",,
"1724468054.79",,"22.55",
"1724468054.811","1012.37",,
"1724468054.812",,"22.56",
"1724468054.832","1012.38",,
"1724468054.833",,"22.56",
"1724468054.854","1012.38","22.56",
"1724468054.876","1012.38","22.56",
"1724468054.897","1012.37","22.56",
"1724468054.919","1012.35","22.56",
"1724468054.941","1012.36","22.56",
"1724468054.963","1012.38","22.56",
"1724468054.984","1012.35","22.56",
"1724468055.005","1012.36","22.57",
"1724468055.027","1012.4","22.57",
"1724468055.049","1012.4","22.57",
"1724468055.07","1012.38",,
"1724468055.071",,"22.57",
"1724468055.092","1012.37",,
"1724468055.093",,"22.57",
"1724468055.113","1012.38",,
"1724468055.114",,"22.57",
"1724468055.135","1012.36","22.57",
"1724468055.157","1012.37","22.57",
"1724468055.178","1012.37","22.57",
"1724468055.2","1012.38","22.58",
"1724468055.222","1012.39","22.58",
"1724468055.243","1012.36","22.57",
"1724468055.265","1012.37","22.58",
"1724468055.287","1012.4","22.58",
"1724468055.308","1012.39","22.58",
"1724468055.33","1012.37","22.58",
"1724468055.351","1012.37",,
"1724468055.352",,"22.58",
"1724468055.372","1012.34",,
"1724468055.373",,"22.58",
"1724468055.394","1012.35",,
"1724468055.395",,"22.58",
"1724468055.416","1012.35","22.59",
"1724468055.437","1012.37","22.58",
"1724468055.459","1012.34",,
"1724468055.46",,"22.58",
"1724468055.48","1012.39",,
"1724468055.481",,"22.59",
"1724468055.502","1012.35","22.59",
"1724468055.524","1012.39","22.59",
"1724468055.545","1012.35",,
"1724468055.546",,"22.59",
"1724468055.567","1012.36","22.59",
"1724468055.588","1012.37",,
"1724468055.589",,"22.59",
"1724468055.61","1012.37","22.59",
"1724468055.632","1012.37","22.59",
"1724468055.653","1012.37","22.6",
"1724468055.675","1012.39","22.6",
"1724468055.696","1012.38",,
"1724468055.697",,"22.6",
"1724468055.718","1012.38",,
"1724468055.719",,"22.6",
"1724468055.74","1012.38",,
"1724468055.741",,"22.6",
"1724468055.762","1012.36","22.6",
"1724468055.783","1012.37","22.6",
"1724468055.805","1012.37","22.6",
"1724468055.826","1012.36","22.6",
"1724468055.848","1012.38","22.61",
"1724468055.87","1012.36","22.61",
"1724468055.891","1012.34","22.6",
"1724468055.913","1012.34","22.6",
"1724468055.934","1012.38","22.61",
"1724468055.956","1012.36","22.61",
"1724468055.977","1012.35",,
