timestamp(ms),pressure,temperature,
"1724467916.454","1012.66","22.28",
"1724467916.463","1012.65","22.26",
"1724467916.473","1012.63","22.25",
"1724467916.482","1012.58","22.24",
"1724467916.492","1012.6","22.24",
"1724467916.502","1012.56","22.24",
"1724467916.511","1012.54","22.23",
"1724467916.521","1012.57","22.23",
"1724467916.53","1012.51",,
"1724467916.531",,"22.23",
"1724467916.54","1012.56","22.23",
"1724467916.549","1012.53","22.23",
"1724467916.559","1012.55","22.23",
"1724467916.569","1012.51","22.23",
"1724467916.578","1012.54","22.22",
"1724467916.588","1012.55","22.23",
"1724467916.597","1012.51","22.23",
"1724467916.607","1012.43","22.23",
"1724467916.617","1012.5","22.22",
"1724467916.626","1012.46","22.22",
"1724467916.636","1012.55","22.23",
"1724467916.645","1012.51","22.23",
"1724467916.655","1012.53","22.23",
"1724467916.665","1012.53","22.22",
"1724467916.674","1012.53","22.23",
"1724467916.684","1012.49","22.22",
"1724467916.693","1012.51",,
"1724467916.694",,"22.23",
"1724467916.703","1012.49","22.23",
"1724467916.713","1012.5","22.23",
"1724467916.722","1012.5",,
"1724467916.723",,"22.23",
"1724467916.732","1012.5","22.23",
"1724467916.742","1012.52","22.23",
"1724467916.751","1012.51",,
"1724467916.752",,"22.23",
"1724467916.761","1012.49","22.23",
"1724467916.77","1012.52","22.23",
"1724467916.78","1012.52","22.24",
"1724467916.79","1012.51","22.23",
"1724467916.799","1012.49","22.23",
"1724467916.809","1012.5","22.24",
"1724467916.818","1012.51","22.24",
"1724467916.828","1012.48","22.24",
"1724467916.837","1012.49","22.23",
"1724467916.847","1012.47","22.24",
"1724467916.857","1012.5","22.24",
"1724467916.866","1012.47","22.23",
"1724467916.876","1012.47","22.24",
"1724467916.885","1012.43",,
"1724467916.886",,"22.23",
"1724467916.895","1012.46","22.24",
"1724467916.905","1012.52","22.24",
"1724467916.914","1012.47","22.24",
"1724467916.924","1012.51","22.24",
"1724467916.934","1012.43","22.24",
"1724467916.943","1012.51",,
"1724467916.944",,"22.24",
"1724467916.953","1012.45","22.24",
"1724467916.962","1012.48","22.25",
"1724467916.972","1012.52","22.25",
"1724467916.982","1012.48","22.24",
"1724467916.991","1012.49","22.25",
"1724467917.001","1012.47","22.25",
"1724467917.011","1012.5","22.24",
"1724467917.02","1012.46","22.25",
"1724467917.03","1012.47","22.24",
"1724467917.039","1012.51","22.25",
"1724467917.049","1012.51","22.25",
"1724467917.058","1012.5",,
"1724467917.059",,"22.25",
"1724467917.068","1012.54","22.26",
"1724467917.078","1012.47","22.25",
"1724467917.087","1012.47","22.25",
"1724467917.097","1012.48","22.25",
"1724467917.106","1012.54","22.25",
"1724467917.116","1012.45","22.25",
"1724467917.126","1012.45","22.25",
"1724467917.135","1012.48",,
"1724467917.136",,"22.26",
"1724467917.145","1012.48","22.26",
"1724467917.154","1012.48","22.25",
"1724467917.164","1012.5","22.26",
"1724467917.173","1012.48",,
"1724467917.174",,"22.25",
"1724467917.183","1012.5","22.26",
"1724467917.193","1012.49","22.26",
"1724467917.203","1012.49","22.25",
"1724467917.212","1012.44","22.26",
"1724467917.221","1012.48","22.26",
"1724467917.231","1012.45","22.26",
"1724467917.241","1012.5","22.26",
"1724467917.25","1012.51","22.26",
"1724467917.26","1012.51","22.26",
"1724467917.27","1012.5","22.26",
"1724467917.279","1012.45",,
"1724467917.28",,"22.26",
"1724467917.289","1012.53","22.26",
"1724467917.298","1012.54","22.26",
"1724467917.308","1012.47","22.26",
"1724467917.318","1012.49","22.27",
"1724467917.327","1012.49","22.27",
"1724467917.337","1012.42","22.26",
"1724467917.347","1012.49","22.27",
"1724467917.356","1012.43","22.27",
"1724467917.365","1012.46",,
"1724467917.366",,"22.27",
"1724467917.403","1012.46","22.27",
"1724467917.406","1012.53","22.27",
"1724467917.407","1012.5","22.26",
"1724467917.413","1012.51",,
"1724467917.414",,"22.28",
"1724467917.423","1012.51","22.28",
"1724467917.432","1012.5","22.27",
"1724467917.442","1012.49","22.26",
"1724467917.452","1012.49","22.27",
"1724467917.461","1012.48","22.27",
"1724467917.471","1012.48","22.28",
"1724467917.481","1012.5","22.27",
"1724467917.49","1012.52","22.27",
"1724467917.5","1012.49","22.28",
"1724467917.509","1012.46",,
"1724467917.51",,"22.28",
"1724467917.519","1012.49","22.28",
"1724467917.529","1012.45",,
"1724467917.53",,"22.27",
"1724467917.539","1012.46","22.28",
"1724467917.548","1012.48","22.28",
"1724467917.557","1012.47","22.28",
"1724467917.567","1012.49","22.28",
"1724467917.577","1012.51","22.28",
"1724467917.586","1012.48","22.28",
"1724467917.596","1012.48","22.28",
"1724467917.606","1012.43","22.28",
"1724467917.615","1012.49","22.28",
"1724467917.625","1012.46","22.28",
"1724467917.634","1012.51","22.28",
"1724467917.644","1012.45","22.28",
"1724467917.653","1012.47",,
"1724467917.654",,"22.28",
"1724467917.663","1012.5",,
"1724467917.664",,"22.29",
"1724467917.673","1012.48","22.28",
"1724467917.682","1012.49","22.28",
"1724467917.692","1012.48","22.29",
"1724467917.701","1012.46",,
"1724467917.702",,"22.29",
"1724467917.711","1012.51","22.28",
"1724467917.721","1012.52","22.29",
"1724467917.73","1012.45","22.29",
"1724467917.74","1012.53","22.29",
"1724467917.749","1012.45","22.29",
"1724467917.759","1012.49","22.29",
"1724467917.769","1012.48","22.29",
"1724467917.778","1012.49",,
"1724467917.779",,"22.29",
"1724467917.788","1012.5","22.29",
"1724467917.798","1012.45","22.29",
"1724467917.807","1012.5",,
"1724467917.808",,"22.28",
"1724467917.817","1012.46","22.3",
"1724467917.826","1012.49","22.29",
"1724467917.836","1012.48","22.29",
"1724467917.846","1012.46","22.29",
"1724467917.855","1012.48",,
"1724467917.856",,"22.29",
"1724467917.865","1012.52","22.29",
"1724467917.874","1012.51","22.29",
"1724467917.884","1012.55","22.3",
"1724467917.893","1012.51",,
"1724467917.894",,"22.29",
"1724467917.903","1012.44","22.29",
"1724467917.913","1012.5","22.29",
"1724467917.922","1012.47","22.3",
"1724467917.932","1012.5","22.29",
"1724467917.941","1012.51",,
"1724467917.942",,"22.3",
"1724467917.951","1012.5","22.3",
"1724467917.961","1012.5","22.3",
"1724467917.97","1012.52","22.3",
"1724467917.98","1012.45","22.29",
"1724467917.99","1012.45","22.3",
"1724467917.999","1012.52","22.3",
"1724467918.009","1012.47","22.3",
"1724467918.018","1012.42","22.29",
"1724467918.028","1012.51","22.3",
"1724467918.037","1012.47",,
"1724467918.038",,"22.3",
"1724467918.047","1012.5",,
"1724467918.048",,"22.3",
"1724467918.057","1012.48","22.3",
"1724467918.067","1012.47","22.3",
"1724467918.076","1012.48","22.3",
"1724467918.085","1012.51","22.31",
"1724467918.095","1012.52","22.3",
"1724467918.105","1012.49","22.3",
"1724467918.114","1012.49",,
"1724467918.115",,"22.31",
"1724467918.124","1012.51","22.3",
"1724467918.134","1012.5","22.31",
"1724467918.143","1012.44","22.3",
"1724467918.153","1012.51","22.31",
"1724467918.162","1012.47","22.3",
"1724467918.172","1012.48","22.31",
"1724467918.182","1012.48","22.3",
"1724467918.191","1012.48",,
"1724467918.192",,"22.31",
"1724467918.201","1012.48","22.31",
"1724467918.21","1012.49","22.31",
"1724467918.22","1012.46","22.31",
"1724467918.23","1012.46","22.31",
"1724467918.239","1012.54","22.31",
"1724467918.249","1012.48","22.31",
"1724467918.258","1012.43",,
"1724467918.259",,"22.31",
"1724467918.268","1012.5","22.31",
"1724467918.277","1012.46","22.31",
"1724467918.287","1012.47","22.31",
"1724467918.297","1012.51","22.32",
"1724467918.306","1012.5",,
"1724467918.307",,"22.31",
"1724467918.316","1012.5","22.31",
"1724467918.325","1012.51",,
"1724467918.326",,"22.31",
"1724467918.335","1012.48","22.31",
"1724467918.345","1012.49","22.31",
"1724467918.354","1012.45","22.31",
"1724467918.364","1012.47","22.31",
"1724467918.373","1012.48",,
"1724467918.374",,"22.31",
"1724467918.383","1012.53","22.31",
"1724467918.393","1012.48","22.31",
"1724467918.402","1012.44","22.31",
"1724467918.412","1012.51","22.31",
"1724467918.421","1012.45","22.32",
"1724467918.431","1012.5","22.31",
"1724467918.441","1012.48","22.31",
"1724467918.45","1012.45","22.32",
"1724467918.46","1012.51","22.32",
"1724467918.47","1012.51","22.32",
"1724467918.479","1012.47","22.32",
"1724467918.489","1012.43","22.31",
"1724467918.498","1012.41","22.32",
"1724467918.508","1012.49","22.32",
"1724467918.518","1012.52","22.32",
"1724467918.527","1012.51",,
"1724467918.528",,"22.32",
"1724467918.537","1012.44","22.32",
"1724467918.546","1012.47","22.32",
"1724467918.556","1012.45","22.31",
"1724467918.565","1012.45","22.32",
"1724467918.575","1012.47","22.31",
"1724467918.585","1012.44","22.32",
"1724467918.594","1012.46",,
"1724467918.595",,"22.32",
"1724467918.604","1012.47","22.32",
"1724467918.613","1012.5",,
"1724467918.614",,"22.32",
"1724467918.623","1012.47","22.32",
"1724467918.633","1012.5","22.32",
"1724467918.642","1012.45",,
"1724467918.643",,"22.32",
"1724467918.652","1012.43","22.32",
"1724467918.662","1012.45","22.33",
"1724467918.671","1012.48","22.32",
"1724467918.681","1012.43","22.32",
"1724467918.69","1012.53","22.32",
"1724467918.7","1012.45","22.32",
"1724467918.709","1012.49",,
"1724467918.71",,"22.33",
"1724467918.719","1012.5","22.33",
"1724467918.729","1012.46","22.32",
"1724467918.738","1012.44","22.32",
"1724467918.748","1012.42","22.32",
"1724467918.757","1012.46",,
"1724467918.758",,"22.33",
"1724467918.767","1012.47","22.32",
"1724467918.777","1012.45","22.32",
"1724467918.786","1012.53",,
"1724467918.787",,"22.33",
"1724467918.796","1012.49",,
"1724467918.797",,"22.33",
"1724467918.805","1012.5","22.33",
"1724467918.815","1012.43","22.33",
"1724467918.825","1012.51","22.33",
"1724467918.834","1012.48","22.32",
"1724467918.844","1012.52","22.33",
"1724467918.854","1012.46","22.33",
"1724467918.863","1012.51",,
"1724467918.864",,"22.33",
"1724467918.873","1012.49","22.32",
"1724467918.882","1012.5","22.33",
"1724467918.892","1012.46","22.33",
"1724467918.902","1012.51","22.33",
"1724467918.911","1012.44","22.33",
"1724467918.921","1012.5","22.33",
"1724467918.93","1012.49",,
"1724467918.931",,"22.33",
"1724467918.94","1012.49","22.33",
"1724467918.949","1012.52","22.34",
"1724467918.959","1012.47","22.32",
"1724467918.969","1012.42","22.33",
"1724467918.978","1012.49",,
"1724467918.979",,"22.33",
"1724467918.988","1012.52","22.33",
"1724467918.998","1012.45","22.34",
"1724467919.007","1012.48","22.34",
"1724467919.016","1012.46",,
"1724467919.017",,"22.34",
"1724467919.026","1012.42","22.33",
"1724467919.036","1012.49","22.33",
"1724467919.046","1012.48","22.33",
"1724467919.055","1012.48","22.33",
"1724467919.065","1012.46","22.33",
"1724467919.074","1012.48","22.33",
"1724467919.084","1012.51","22.33",
"1724467919.093","1012.49","22.33",
"1724467919.103","1012.48","22.33",
"1724467919.113","1012.48","22.34",
"1724467919.122","1012.45","22.33",
"1724467919.132","1012.47","22.34",
"1724467919.141","1012.49","22.34",
"1724467919.151","1012.47","22.34",
"1724467919.161","1012.45","22.34",
"1724467919.17","1012.47","22.34",
"1724467919.18","1012.51",,
"1724467919.181",,"22.34",
"1724467919.19","1012.48","22.34",
"1724467919.199","1012.46","22.34",
"1724467919.209","1012.46","22.34",
"1724467919.218","1012.43","22.34",
"1724467919.228","1012.41","22.34",
"1724467919.238","1012.51","22.34",
"1724467919.247","1012.44",,
"1724467919.248",,"22.34",
"1724467919.257","1012.53","22.34",
"1724467919.266","1012.47","22.34",
"1724467919.276","1012.54","22.35",
"1724467919.285","1012.53","22.34",
"1724467919.295","1012.52","22.34",
"1724467919.305","1012.43","22.34",
"1724467919.315","1012.49","22.34",
"1724467919.324","1012.53","22.34",
"1724467919.333","1012.45","22.34",
"1724467919.343","1012.45","22.34",
"1724467919.353","1012.48","22.34",
"1724467919.362","1012.49","22.35",
"1724467919.372","1012.46","22.34",
"1724467919.382","1012.51","22.35",
"1724467919.391","1012.48",,
"1724467919.392",,"22.34",
"1724467919.401","1012.5","22.34",
"1724467919.41","1012.51","22.35",
"1724467919.42","1012.48","22.34",
"1724467919.429","1012.47","22.35",
"1724467919.439","1012.5","22.34",
"1724467919.449","1012.52","22.35",
"1724467919.458","1012.47",,
"1724467919.459",,"22.35",
"1724467919.468","1012.45","22.35",
"1724467919.477","1012.45","22.34",
"1724467919.487","1012.45","22.35",
"1724467919.497","1012.45","22.35",
"1724467919.506","1012.44",,
"1724467919.507",,"22.34",
"1724467919.516","1012.51","22.35",
"1724467919.526","1012.51","22.34",
"1724467919.535","1012.46","22.35",
"1724467919.544","1012.47",,
"1724467919.545",,"22.35",
"1724467919.554","1012.47","22.35",
"1724467919.564","1012.5","22.35",
"1724467919.574","1012.47","22.35",
"1724467919.583","1012.49","22.35",
"1724467919.593","1012.49","22.35",
"1724467919.602","1012.43","22.34",
"1724467919.612","1012.51","22.36",
"1724467919.621","1012.52","22.35",
"1724467919.631","1012.48","22.35",
"1724467919.641","1012.49","22.35",
"1724467919.65","1012.46",,
"1724467919.651",,"22.35",
"1724467919.66","1012.49","22.35",
"1724467919.669","1012.51","22.35",
"1724467919.679","1012.5","22.35",
"1724467919.689","1012.45","22.35",
"1724467919.698","1012.51",,
"1724467919.699",,"22.35",
"1724467919.708","1012.48","22.35",
"1724467919.718","1012.45","22.35",
"1724467919.727","1012.48","22.35",
"1724467919.737","1012.44","22.35",
"1724467919.746","1012.47","22.35",
"1724467919.756","1012.49","22.35",
"1724467919.766","1012.48","22.36",
"1724467919.775","1012.53",,
"1724467919.776",,"22.36",
"1724467919.785","1012.5","22.35",
"1724467919.794","1012.48","22.35",
"1724467919.804","1012.47","22.35",
"1724467919.813","1012.49",,
"1724467919.814",,"22.36",
"1724467919.823","1012.45","22.35",
"1724467919.833","1012.43","22.35",
"1724467919.842","1012.4","22.35",
"1724467919.852","1012.43","22.36",
"1724467919.861","1012.52","22.36",
"1724467919.871","1012.49","22.36",
"1724467919.88","1012.48",,
"1724467919.881",,"22.36",
"1724467919.89","1012.47","22.35",
"1724467919.9","1012.49","22.35",
"1724467919.91","1012.5","22.36",
"1724467919.919","1012.49",,
"1724467919.92",,"22.36",
"1724467919.929","1012.46","22.35",
"1724467919.938","1012.5","22.36",
"1724467919.948","1012.51","22.36",
"1724467919.957","1012.49",,
"1724467919.958",,"22.36",
"1724467919.967","1012.45","22.36",
