timestamp(ms),pressure,temperature,
"1724465631.228","1012.72","22.25",
"1724465631.231","1012.66","22.27",
"1724465631.235","1012.63","22.25",
"1724465631.239","1012.63","22.25",
"1724465631.242","1012.6","22.23",
"1724465631.246","1012.6","22.23",
"1724465631.251","1012.6","22.23",
"1724465631.253","1012.6","22.23",
"1724465631.256","1012.65",,
"1724465631.257",,"22.22",
"1724465631.26","1012.56","22.22",
"1724465631.264","1012.6","22.23",
"1724465631.267","1012.56","22.22",
"1724465631.271","1012.6","22.23",
"1724465631.274","1012.6",,
"1724465631.275",,"22.23",
"1724465631.279","1012.6","22.23",
"1724465631.282","1012.56","22.22",
"1724465631.285","1012.6","22.23",
"1724465631.289","1012.47","22.22",
"1724465631.292","1012.47",,
"1724465631.293",,"22.22",
"1724465631.296","1012.56","22.22",
"1724465631.3","1012.56","22.22",
"1724465631.303","1012.65","22.22",
"1724465631.307","1012.6","22.23",
"1724465631.31","1012.47",,
"1724465631.311",,"22.22",
"1724465631.314","1012.56","22.22",
"1724465631.318","1012.56","22.22",
"1724465631.321","1012.56","22.22",
"1724465631.325","1012.47","22.22",
"1724465631.329","1012.47","22.22",
"1724465631.332","1012.56","22.22",
"1724465631.336","1012.56","22.22",
"1724465631.339","1012.56","22.22",
"1724465631.343","1012.56","22.22",
"1724465631.347","1012.56","22.22",
"1724465631.35","1012.53","22.2",
"1724465631.354","1012.65","22.22",
"1724465631.357","1012.56","22.22",
"1724465631.361","1012.6","22.23",
"1724465631.364","1012.5",,
"1724465631.365",,"22.23",
"1724465631.368","1012.56","22.22",
"1724465631.372","1012.65","22.22",
"1724465631.375","1012.56","22.22",
"1724465631.379","1012.56","22.22",
"1724465631.382","1012.56",,
"1724465631.383",,"22.22",
"1724465631.386","1012.56","22.22",
"1724465631.39","1012.47","22.22",
"1724465631.393","1012.6","22.23",
"1724465631.397","1012.56","22.22",
"1724465631.4","1012.56",,
"1724465631.401",,"22.22",
"1724465631.404","1012.56","22.22",
"1724465631.408","1012.53","22.2",
"1724465631.411","1012.56","22.22",
"1724465631.415","1012.47","22.22",
"1724465631.419","1012.53","22.2",
"1724465631.422","1012.65","22.22",
"1724465631.426","1012.6","22.23",
"1724465631.429","1012.47","22.22",
"1724465631.433","1012.56","22.22",
"1724465631.436","1012.56",,
"1724465631.437",,"22.22",
"1724465631.44","1012.53","22.2",
"1724465631.444","1012.56","22.22",
"1724465631.447","1012.6","22.23",
"1724465631.489","1012.56","22.22",
"1724465631.49","1012.47","22.23",
"1724465631.491","1012.47","22.22",
"1724465631.494","1012.65","22.22",
"1724465631.498","1012.47","22.22",
"1724465631.501","1012.47","22.22",
"1724465631.505","1012.47","22.22",
"1724465631.508","1012.47","22.22",
"1724465631.512","1012.56","22.22",
"1724465631.516","1012.56","22.22",
"1724465631.519","1012.38","22.22",
"1724465631.523","1012.56","22.22",
"1724465631.526","1012.56","22.22",
"1724465631.53","1012.56","22.22",
"1724465631.534","1012.47","22.22",
"1724465631.537","1012.43","22.2",
"1724465631.541","1012.56","22.22",
"1724465631.544","1012.41",,
"1724465631.545",,"22.23",
"1724465631.548","1012.5","22.23",
"1724465631.552","1012.5","22.23",
"1724465631.555","1012.5","22.23",
"1724465631.559","1012.56","22.22",
"1724465631.562","1012.47",,
"1724465631.563",,"22.22",
"1724465631.566","1012.56","22.22",
"1724465631.57","1012.47","22.22",
"1724465631.573","1012.47","22.22",
"1724465631.577","1012.47","22.22",
"1724465631.581","1012.56","22.22",
"1724465631.584","1012.56","22.22",
"1724465631.588","1012.6","22.23",
"1724465631.591","1012.47","22.22",
"1724465631.595","1012.6","22.23",
"1724465631.598","1012.6",,
"1724465631.599",,"22.23",
"1724465631.602","1012.56","22.22",
"1724465631.606","1012.47","22.22",
"1724465631.609","1012.5","22.23",
"1724465631.613","1012.5","22.23",
"1724465631.617","1012.6","22.23",
"1724465631.62","1012.5",,
"1724465631.621",,"22.23",
"1724465631.624","1012.5","22.23",
"1724465631.627","1012.56","22.22",
"1724465631.631","1012.47","22.22",
"1724465631.634","1012.6",,
"1724465631.635",,"22.23",
"1724465631.638","1012.56","22.22",
"1724465631.642","1012.65","22.22",
"1724465631.645","1012.65","22.22",
"1724465631.649","1012.47","22.22",
"1724465631.652","1012.5",,
"1724465631.653",,"22.23",
"1724465631.656","1012.65","22.22",
"1724465631.66","1012.5","22.23",
"1724465631.663","1012.6","22.23",
"1724465631.667","1012.56","22.22",
"1724465631.67","1012.6","22.23",
"1724465631.674","1012.5","22.23",
"1724465631.678","1012.6","22.23",
"1724465631.681","1012.47","22.22",
"1724465631.685","1012.6","22.23",
"1724465631.688","1012.5",,
"1724465631.689",,"22.23",
"1724465631.692","1012.6","22.23",
"1724465631.696","1012.6","22.23",
"1724465631.699","1012.56","22.22",
