timestamp(ms),pressure,temperature,
"1724465889.33","1012.56","21.97",
"1724465889.351","1012.47","21.93",
"1724465889.373","1012.42","21.92",
"1724465889.395","1012.41","21.91",
"1724465889.416","1012.38","21.91",
"1724465889.438","1012.37","21.9",
"1724465889.459","1012.37",,
"1724465889.46",,"21.9",
"1724465889.481","1012.33","21.9",
"1724465889.502","1012.35",,
"1724465889.503",,"21.91",
"1724465889.524","1012.35","21.91",
"1724465889.546","1012.35","21.91",
"1724465889.567","1012.33",,
"1724465889.568",,"21.91",
"1724465889.589","1012.31","21.91",
"1724465889.611","1012.31","21.91",
"1724465889.632","1012.31","21.91",
"1724465889.654","1012.3","21.91",
"1724465889.675","1012.28","21.92",
"1724465889.697","1012.32","21.92",
"1724465889.719","1012.3","21.92",
"1724465889.74","1012.33",,
"1724465889.741",,"21.92",
"1724465889.762","1012.32",,
"1724465889.763",,"21.93",
"1724465889.783","1012.29",,
"1724465889.784",,"21.93",
"1724465889.805","1012.32",,
"1724465889.806",,"21.93",
"1724465889.827","1012.32",,
"1724465889.828",,"21.93",
"1724465889.848","1012.31","21.94",
"1724465889.87","1012.29",,
"1724465889.871",,"21.94",
"1724465889.892","1012.31",,
"1724465889.893",,"21.94",
"1724465889.913","1012.32","21.95",
"1724465889.935","1012.32","21.95",
"1724465889.957","1012.29","21.95",
"1724465889.978","1012.29","21.95",
"1724465890","1012.3","21.95",
"1724465890.022","1012.31","21.96",
"1724465890.043","1012.28","21.96",
"1724465890.064","1012.29","21.96",
"1724465890.086","1012.3",,
"1724465890.087",,"21.96",
"1724465890.107","1012.3",,
"1724465890.108",,"21.97",
"1724465890.129","1012.28",,
"1724465890.13",,"21.97",
"1724465890.151","1012.29",,
"1724465890.152",,"21.97",
"1724465890.172","1012.3","21.97",
"1724465890.194","1012.3","21.98",
"1724465890.218","1012.31",,
"1724465890.219",,"21.98",
"1724465890.237","1012.3","21.98",
"1724465890.259","1012.31","21.98",
"1724465890.281","1012.29","21.98",
"1724465890.302","1012.28","21.99",
"1724465890.324","1012.28","21.99",
