timestamp(ms),pressure,temperature,
"1724465690.182","1012.68","22.1",
"1724465690.189","1012.6",,
"1724465690.19",,"22.09",
"1724465690.197","1012.61","22.08",
"1724465690.205","1012.59","22.07",
"1724465690.212","1012.62","22.07",
"1724465690.22","1012.57","22.07",
"1724465690.227","1012.59","22.08",
"1724465690.235","1012.55","22.07",
"1724465690.243","1012.47","22.06",
"1724465690.25","1012.52","22.05",
"1724465690.258","1012.53","22.07",
"1724465690.265","1012.5","22.07",
"1724465690.273","1012.5","22.05",
"1724465690.281","1012.55","22.07",
"1724465690.288","1012.52","22.06",
"1724465690.296","1012.53","22.06",
"1724465690.303","1012.55",,
"1724465690.304",,"22.06",
"1724465690.311","1012.58","22.06",
"1724465690.319","1012.52","22.06",
"1724465690.326","1012.55","22.06",
"1724465690.334","1012.48","22.06",
"1724465690.341","1012.53","22.06",
"1724465690.349","1012.53","22.06",
"1724465690.357","1012.53","22.06",
"1724465690.365","1012.48","22.06",
"1724465690.372","1012.49","22.06",
"1724465690.38","1012.47","22.05",
"1724465690.387","1012.49","22.06",
"1724465690.395","1012.51","22.06",
"1724465690.402","1012.52","22.07",
"1724465690.41","1012.54","22.06",
"1724465690.418","1012.54","22.06",
"1724465690.425","1012.49",,
"1724465690.426",,"22.06",
"1724465690.433","1012.52","22.07",
"1724465690.44","1012.47",,
"1724465690.441",,"22.06",
"1724465690.448","1012.54","22.06",
"1724465690.455","1012.49",,
"1724465690.456",,"22.06",
"1724465690.463","1012.49","22.06",
"1724465690.471","1012.53","22.06",
"1724465690.479","1012.55","22.06",
"1724465690.486","1012.53","22.06",
"1724465690.493","1012.47",,
"1724465690.494",,"22.06",
"1724465690.501","1012.56","22.07",
"1724465690.509","1012.52","22.07",
"1724465690.516","1012.51","22.06",
"1724465690.524","1012.53","22.06",
"1724465690.531","1012.59","22.07",
"1724465690.539","1012.53","22.07",
"1724465690.547","1012.5","22.05",
"1724465690.554","1012.48","22.06",
"1724465690.562","1012.45","22.07",
"1724465690.57","1012.46","22.07",
"1724465690.577","1012.63","22.08",
"1724465690.585","1012.49","22.06",
"1724465690.592","1012.48","22.07",
"1724465690.6","1012.42","22.06",
"1724465690.607","1012.43","22.07",
"1724465690.615","1012.43","22.07",
"1724465690.623","1012.51","22.07",
"1724465690.63","1012.57","22.07",
"1724465690.638","1012.44","22.07",
"1724465690.646","1012.52","22.07",
"1724465690.653","1012.51","22.07",
"1724465690.661","1012.49","22.07",
"1724465690.668","1012.46","22.07",
"1724465690.676","1012.57","22.07",
"1724465690.684","1012.53","22.07",
"1724465690.691","1012.51","22.07",
"1724465690.699","1012.49","22.08",
"1724465690.706","1012.45",,
"1724465690.707",,"22.08",
"1724465690.714","1012.53","22.07",
"1724465690.721","1012.46",,
"1724465690.722",,"22.07",
"1724465690.729","1012.6","22.08",
"1724465690.737","1012.49","22.08",
"1724465690.744","1012.47","22.08",
"1724465690.752","1012.5","22.08",
"1724465690.76","1012.43","22.08",
"1724465690.767","1012.49",,
"1724465690.768",,"22.07",
"1724465690.775","1012.5","22.08",
"1724465690.782","1012.55","22.08",
"1724465690.79","1012.56","22.08",
"1724465690.798","1012.49","22.08",
"1724465690.805","1012.54","22.08",
"1724465690.813","1012.46","22.08",
"1724465690.82","1012.56",,
"1724465690.821",,"22.08",
"1724465690.828","1012.46",,
"1724465690.829",,"22.08",
"1724465690.836","1012.52","22.08",
"1724465690.843","1012.45","22.07",
"1724465690.851","1012.43","22.08",
"1724465690.858","1012.47","22.08",
"1724465690.866","1012.45","22.08",
"1724465690.874","1012.53","22.08",
"1724465690.881","1012.48","22.08",
"1724465690.889","1012.53","22.08",
"1724465690.896","1012.54","22.08",
"1724465690.904","1012.46","22.07",
"1724465690.912","1012.56","22.08",
"1724465690.919","1012.53","22.08",
"1724465690.927","1012.48","22.08",
"1724465690.934","1012.43","22.08",
"1724465690.942","1012.43","22.08",
"1724465690.95","1012.53","22.08",
"1724465690.957","1012.44",,
"1724465690.958",,"22.08",
"1724465690.965","1012.5","22.08",
"1724465690.972","1012.48","22.08",
"1724465690.98","1012.49","22.08",
"1724465690.987","1012.52",,
"1724465690.988",,"22.09",
"1724465690.995","1012.51","22.08",
"1724465691.003","1012.52","22.09",
"1724465691.01","1012.51","22.09",
"1724465691.018","1012.54","22.1",
"1724465691.026","1012.49","22.08",
"1724465691.033","1012.45","22.09",
"1724465691.041","1012.53","22.08",
"1724465691.048","1012.52","22.09",
"1724465691.056","1012.54","22.08",
"1724465691.064","1012.43","22.08",
"1724465691.071","1012.44","22.09",
"1724465691.079","1012.47","22.09",
"1724465691.086","1012.54",,
"1724465691.087",,"22.09",
"1724465691.094","1012.46","22.09",
"1724465691.102","1012.47","22.09",
"1724465691.109","1012.47","22.09",
"1724465691.117","1012.52","22.09",
"1724465691.124","1012.54","22.09",
"1724465691.132","1012.52","22.09",
"1724465691.139","1012.47",,
"1724465691.14",,"22.09",
"1724465691.147","1012.46","22.09",
"1724465691.155","1012.49","22.08",
"1724465691.162","1012.54",,
"1724465691.163",,"22.09",
"1724465691.17","1012.48","22.09",
"1724465691.178","1012.47","22.1",
