timestamp(ms),pressure,temperature,
"1724465801.792","1012.63","22",
"1724465801.802","1012.53",,
"1724465801.803",,"21.97",
"1724465801.816","1012.48","21.96",
"1724465801.83","1012.5","21.95",
"1724465801.843","1012.48","21.95",
"1724465801.857","1012.47","21.94",
"1724465801.87","1012.42",,
"1724465801.871",,"21.94",
"1724465801.884","1012.43","21.94",
"1724465801.898","1012.42","21.93",
"1724465801.912","1012.42","21.94",
"1724465801.925","1012.38","21.93",
"1724465801.938","1012.35",,
"1724465801.939",,"21.94",
"1724465801.952","1012.44","21.93",
"1724465801.965","1012.4","21.94",
"1724465801.979","1012.43","21.94",
"1724465801.992","1012.39","21.94",
"1724465802.006","1012.4","21.93",
"1724465802.02","1012.41","21.94",
"1724465802.033","1012.39",,
"1724465802.034",,"21.94",
"1724465802.047","1012.41","21.94",
"1724465802.06","1012.36","21.94",
"1724465802.074","1012.39","21.94",
"1724465802.087","1012.37",,
"1724465802.088",,"21.94",
"1724465802.101","1012.39","21.94",
"1724465802.115","1012.38","21.94",
"1724465802.128","1012.43",,
"1724465802.129",,"21.95",
"1724465802.142","1012.38","21.95",
"1724465802.156","1012.39","21.95",
"1724465802.169","1012.37",,
"1724465802.17",,"21.95",
"1724465802.183","1012.37","21.95",
"1724465802.196","1012.36","21.95",
"1724465802.21","1012.39","21.95",
"1724465802.223","1012.4",,
"1724465802.224",,"21.95",
"1724465802.237","1012.36",,
"1724465802.238",,"21.96",
"1724465802.251","1012.36","21.95",
"1724465802.264","1012.36","21.95",
"1724465802.278","1012.39","21.96",
"1724465802.292","1012.39","21.96",
"1724465802.305","1012.36","21.96",
"1724465802.319","1012.35","21.96",
"1724465802.332","1012.37","21.96",
"1724465802.346","1012.34","21.97",
"1724465802.36","1012.38","21.97",
"1724465802.373","1012.36",,
"1724465802.374",,"21.97",
"1724465802.387","1012.35","21.97",
"1724465802.4","1012.4","21.97",
"1724465802.414","1012.38","21.97",
"1724465802.428","1012.36","21.97",
"1724465802.441","1012.41",,
"1724465802.442",,"21.97",
"1724465802.455","1012.37","21.97",
"1724465802.468","1012.4","21.97",
"1724465802.482","1012.4","21.98",
"1724465802.495","1012.37",,
"1724465802.496",,"21.98",
"1724465802.509","1012.34","21.98",
"1724465802.523","1012.36","21.98",
"1724465802.536","1012.36",,
"1724465802.537",,"21.98",
"1724465802.55","1012.37","21.98",
"1724465802.564","1012.36","21.99",
"1724465802.577","1012.41","21.98",
"1724465802.591","1012.38","21.98",
"1724465802.604","1012.35",,
"1724465802.605",,"21.99",
"1724465802.618","1012.34","21.99",
"1724465802.632","1012.37","21.99",
"1724465802.645","1012.4","21.99",
"1724465802.659","1012.36","21.99",
"1724465802.672","1012.37",,
"1724465802.673",,"21.99",
"1724465802.686","1012.37",,
"1724465802.687",,"21.99",
"1724465802.7","1012.32","21.99",
"1724465802.713","1012.38","22",
"1724465802.727","1012.38","22",
"1724465802.74","1012.34",,
"1724465802.741",,"22",
"1724465802.754","1012.36","22",
"1724465802.768","1012.35","22",
"1724465802.781","1012.37","22",
